"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-13","4,443.01","4,397.32","4,443.35","4,363.62","940.97M","-0.31%"
"2024-11-12","4,456.86","4,627.54","4,680.41","4,442.54","1.57B","-4.19%"
"2024-11-11","4,651.71","4,524.49","4,670.15","4,524.49","1.65B","-0.35%"
"2024-11-8","4,668.26","4,786.41","4,838.38","4,658.69","1.77B","-0.20%"
"2024-11-7","4,677.64","4,532.54","4,687.50","4,508.40","1.60B","2.25%"
"2024-11-6","4,574.50","4,646.37","4,667.90","4,525.36","1.57B","-2.54%"
"2024-11-5","4,693.85","4,486.17","4,694.48","4,486.17","1.50B","3.57%"
"2024-11-4","4,532.18","4,512.24","4,554.36","4,501.09","777.26M","1.08%"
"2024-11-1","4,483.91","4,504.48","4,548.66","4,454.93","1.13B","-0.34%"
"2024-10-31","4,499.15","4,527.34","4,578.40","4,499.15","961.24M","-0.32%"
"2024-10-30","4,513.68","4,581.18","4,610.33","4,491.61","1.18B","-2.38%"
"2024-10-29","4,623.84","4,648.47","4,701.00","4,601.52","1.21B","1.09%"
"2024-10-28","4,574.07","4,563.74","4,601.07","4,516.73","952.35M","0.79%"
"2024-10-25","4,538.03","4,492.60","4,593.12","4,492.60","1.10B","1.21%"
"2024-10-24","4,483.99","4,543.32","4,570.36","4,473.35","1.27B","-2.64%"
"2024-10-23","4,605.62","4,527.01","4,669.85","4,506.28","1.63B","1.86%"
"2024-10-22","4,521.63","4,508.46","4,565.24","4,476.88","1.24B","0.66%"
"2024-10-21","4,491.90","4,580.65","4,637.44","4,483.22","2.24B","-2.37%"
"2024-10-18","4,600.85","4,337.24","4,661.64","4,329.92","2.82B","5.77%"
"2024-10-17","4,349.77","4,449.39","4,547.31","4,319.17","1.77B","-1.19%"
"2024-10-16","4,402.37","4,391.14","4,482.95","4,368.95","1.46B","-1.09%"
"2024-10-15","4,450.95","4,654.12","4,682.83","4,405.29","2.09B","-4.65%"
"2024-10-14","4,668.18","4,702.61","4,723.73","4,512.14","2.28B","-1.43%"
"2024-10-10","4,736.10","4,772.82","4,862.17","4,675.69","2.38B","2.05%"
"2024-10-9","4,640.75","4,819.86","4,908.88","4,502.93","4.66B","-1.17%"
"2024-10-8","4,695.81","5,293.05","5,293.05","4,611.45","5.58B","-12.82%"
"2024-10-7","5,386.48","5,298.43","5,451.53","5,236.09","2.70B","3.05%"
"2024-10-4","5,227.13","4,941.96","5,233.98","4,885.22","2.91B","4.99%"
"2024-10-3","4,978.64","5,117.37","5,118.05","4,773.13","2.09B","-3.46%"
"2024-10-2","5,157.08","4,840.08","5,252.53","4,840.08","2.72B","8.53%"
"2024-9-30","4,751.81","4,648.26","4,841.82","4,539.56","4.56B","6.70%"
"2024-9-27","4,453.24","4,340.07","4,516.58","4,308.47","2.99B","5.78%"
"2024-9-26","4,209.71","3,983.38","4,222.65","3,964.86","2.66B","7.27%"
"2024-9-25","3,924.45","4,063.51","4,063.51","3,907.06","1.93B","0.23%"
"2024-9-24","3,915.58","3,785.98","3,916.69","3,755.15","1.49B","5.88%"
"2024-9-23","3,698.27","3,699.23","3,761.17","3,688.69","897.25M","-0.15%"
"2024-9-20","3,703.84","3,649.32","3,744.31","3,638.47","1.55B","1.43%"
"2024-9-19","3,651.56","3,539.08","3,669.72","3,528.21","996.24M","3.25%"
"2024-9-17","3,536.57","3,482.67","3,545.31","3,472.90","381.12M","1.12%"
"2024-9-16","3,497.45","3,454.69","3,497.45","3,422.82","279.02M","0.51%"
"2024-9-13","3,479.80","3,477.38","3,528.77","3,475.52","512.39M","0.13%"
"2024-9-12","3,475.25","3,479.79","3,508.06","3,473.66","540.63M","0.71%"
"2024-9-11","3,450.92","3,416.76","3,457.00","3,416.76","783.27M","0.01%"
"2024-9-10","3,450.73","3,448.75","3,467.59","3,403.55","839.00M","0.41%"
"2024-9-9","3,436.75","3,450.98","3,454.45","3,410.82","1.02B","-1.46%"
"2024-9-5","3,487.80","3,479.47","3,505.65","3,461.11","503.74M","0.14%"
"2024-9-4","3,482.84","3,467.45","3,496.40","3,439.94","616.24M","-0.39%"
"2024-9-3","3,496.49","3,486.02","3,534.69","3,472.02","422.75M","0.29%"
"2024-9-2","3,486.40","3,539.86","3,539.86","3,477.95","578.72M","-2.08%"
"2024-8-30","3,560.61","3,476.13","3,614.68","3,470.22","1.14B","2.87%"
"2024-8-29","3,461.22","3,388.70","3,467.11","3,365.47","869.35M","0.46%"
"2024-8-28","3,445.46","3,478.90","3,488.30","3,425.73","757.63M","-1.59%"
"2024-8-27","3,501.29","3,455.61","3,501.70","3,438.76","671.28M","-0.05%"
"2024-8-26","3,502.96","3,490.43","3,522.48","3,479.40","749.37M","0.98%"
"2024-8-23","3,468.94","3,451.18","3,474.96","3,435.28","588.75M","-1.13%"
"2024-8-22","3,508.61","3,490.29","3,513.66","3,436.98","998.69M","2.16%"
"2024-8-21","3,434.39","3,401.96","3,437.84","3,378.65","712.97M","-1.82%"
"2024-8-20","3,498.08","3,556.74","3,556.74","3,484.92","592.92M","-0.54%"
"2024-8-19","3,517.09","3,516.36","3,563.68","3,511.14","727.37M","1.68%"
"2024-8-16","3,459.09","3,437.54","3,469.42","3,416.76","643.98M","2.21%"
"2024-8-15","3,384.38","3,371.90","3,434.14","3,347.21","829.11M","-0.33%"
"2024-8-14","3,395.70","3,447.65","3,453.13","3,384.28","417.24M","-0.99%"
"2024-8-13","3,429.69","3,428.85","3,453.13","3,399.01","459.02M","0.00%"
"2024-8-12","3,429.84","3,438.01","3,448.67","3,392.70","421.23M","-0.20%"
"2024-8-9","3,436.80","3,436.69","3,483.23","3,429.05","668.20M","2.08%"
"2024-8-8","3,366.68","3,346.91","3,422.30","3,317.85","563.16M","-0.47%"
"2024-8-7","3,382.42","3,361.60","3,419.36","3,346.18","563.84M","1.19%"
"2024-8-6","3,342.52","3,392.21","3,409.60","3,322.30","739.21M","0.09%"
"2024-8-5","3,339.42","3,333.70","3,426.32","3,272.06","1.18B","-1.36%"
"2024-8-2","3,385.60","3,417.50","3,435.91","3,356.80","651.38M","-2.62%"
"2024-8-1","3,476.58","3,503.51","3,518.85","3,461.80","561.49M","-1.15%"
"2024-7-31","3,516.87","3,419.78","3,535.14","3,411.49","845.34M","3.01%"
"2024-7-30","3,414.04","3,464.69","3,464.69","3,401.82","630.90M","-1.52%"
"2024-7-29","3,466.60","3,491.95","3,509.46","3,455.01","620.24M","0.66%"
"2024-7-26","3,443.73","3,443.65","3,476.47","3,410.75","748.35M","0.66%"
"2024-7-25","3,421.26","3,461.91","3,467.24","3,408.05","790.26M","-2.00%"
"2024-7-24","3,491.20","3,539.90","3,561.64","3,469.42","823.78M","-1.52%"
"2024-7-23","3,545.09","3,634.67","3,639.61","3,537.28","760.57M","-1.82%"
"2024-7-22","3,610.71","3,550.52","3,625.80","3,532.28","1.11B","2.10%"
"2024-7-19","3,536.54","3,571.22","3,589.28","3,527.52","660.68M","-2.12%"
"2024-7-18","3,613.13","3,598.75","3,640.12","3,571.76","673.07M","-0.76%"
"2024-7-17","3,640.88","3,638.92","3,678.67","3,617.08","672.83M","0.50%"
"2024-7-16","3,622.84","3,626.02","3,641.16","3,600.35","625.95M","-1.35%"
"2024-7-15","3,672.58","3,736.34","3,747.86","3,661.10","634.18M","-2.90%"
"2024-7-12","3,782.08","3,746.43","3,787.33","3,736.31","856.64M","2.32%"
"2024-7-11","3,696.49","3,637.70","3,703.70","3,633.46","654.85M","2.67%"
"2024-7-10","3,600.49","3,639.26","3,679.96","3,596.58","683.40M","-0.01%"
"2024-7-9","3,600.90","3,562.73","3,624.56","3,539.60","861.00M","0.96%"
"2024-7-8","3,566.63","3,589.70","3,621.36","3,545.76","1.04B","-0.84%"
"2024-7-5","3,596.80","3,649.82","3,666.80","3,577.29","2.20B","-1.45%"
"2024-7-4","3,649.67","3,692.42","3,710.87","3,634.59","1.28B","0.63%"
"2024-7-3","3,626.93","3,564.64","3,638.23","3,553.24","2.76B","2.48%"
"2024-7-2","3,539.13","3,538.13","3,596.20","3,521.50","0.00K","-0.43%"
"2024-6-28","3,554.45","3,546.70","3,614.55","3,546.70","850.16M","-0.96%"
"2024-6-27","3,588.86","3,666.50","3,668.67","3,580.68","1.06B","-2.73%"
"2024-6-26","3,689.68","3,639.75","3,709.21","3,634.27","1.08B","0.94%"
"2024-6-25","3,655.46","3,689.43","3,701.59","3,624.48","726.81M","-0.60%"
"2024-6-24","3,677.51","3,671.57","3,678.56","3,619.76","800.95M","-0.65%"
"2024-6-21","3,701.40","3,720.72","3,734.62","3,674.31","1.49B","-1.76%"
"2024-6-20","3,767.88","3,838.32","3,838.32","3,753.25","1.19B","-1.68%"
"2024-6-19","3,832.32","3,736.26","3,835.05","3,728.75","1.54B","3.65%"
