"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-1","4,438.58","4,504.48","4,838.38","4,363.62","12.49B","-1.35%"
"2024-10-1","4,499.15","4,840.08","5,451.53","4,319.17","45.24B","-5.32%"
"2024-9-1","4,751.81","3,539.86","4,841.82","3,403.55","23.55B","33.45%"
"2024-8-1","3,560.61","3,503.51","3,614.68","3,272.06","1.14B","1.24%"
"2024-7-1","3,516.87","3,538.13","3,787.33","3,401.82","19.93B","-1.06%"
"2024-6-1","3,554.45","3,744.43","3,886.31","3,546.70","20.68B","-3.69%"
"2024-5-1","3,690.76","3,700.23","4,162.51","3,683.62","37.31B","-0.27%"
"2024-4-1","3,700.67","3,558.92","3,805.88","3,233.76","28.18B","6.42%"
"2024-3-1","3,477.55","3,396.36","3,704.06","3,317.12","17.35B","1.35%"
"2024-2-1","3,431.30","3,029.81","3,547.16","2,987.68","14.51B","14.16%"
"2024-1-1","3,005.80","3,803.44","3,808.23","2,984.90","14.44B","-20.15%"
"2023-12-1","3,764.29","3,885.26","3,886.03","3,527.45","12.68B","-3.47%"
"2023-11-1","3,899.64","3,762.02","4,169.70","3,711.60","14.82B","3.74%"
"2023-10-1","3,759.16","3,858.66","4,038.54","3,586.50","9.59B","-4.12%"
"2023-9-1","3,920.59","4,257.60","4,309.87","3,760.13","9.82B","-6.19%"
"2023-8-1","4,179.49","4,599.84","4,661.38","3,910.30","13.06B","-8.14%"
"2023-7-1","4,549.95","3,942.62","4,688.69","3,851.82","15.82B","16.33%"
"2023-6-1","3,911.31","3,617.57","4,271.28","3,611.29","13.32B","7.85%"
"2023-5-1","3,626.73","3,968.87","4,016.54","3,563.99","11.51B","-7.04%"
"2023-4-1","3,901.52","4,279.53","4,314.80","3,785.22","20.60B","-9.35%"
"2023-3-1","4,303.71","3,939.23","4,360.77","3,754.31","20.85B","9.65%"
"2023-2-1","3,925.06","4,572.90","4,804.85","3,906.80","17.60B","-13.59%"
"2023-1-1","4,542.58","4,081.29","4,825.59","4,018.85","14.65B","10.02%"
"2022-12-1","4,128.79","3,950.80","4,390.86","3,818.84","19.94B","8.70%"
"2022-11-1","3,798.19","2,903.05","3,885.43","2,893.08","24.66B","33.15%"
"2022-10-1","2,852.57","3,423.37","3,709.39","2,720.38","13.61B","-17.32%"
"2022-9-1","3,450.12","4,232.42","4,289.51","3,385.26","11.10B","-19.27%"
"2022-8-1","4,273.68","4,303.36","4,429.40","4,012.51","10.90B","-1.33%"
