"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-10","4,428.22","4,529.65","4,680.41","4,363.62","4.13B","-5.14%"
"2024-11-3","4,668.26","4,512.24","4,838.38","4,486.17","7.21B","4.11%"
"2024-10-27","4,483.91","4,563.74","4,701.00","4,454.93","5.44B","-1.19%"
"2024-10-20","4,538.03","4,580.65","4,669.85","4,473.35","7.48B","-1.37%"
"2024-10-13","4,600.85","4,702.61","4,723.73","4,319.17","10.42B","-2.86%"
"2024-10-6","4,736.10","5,298.43","5,451.53","4,502.93","15.31B","-9.39%"
"2024-9-29","5,227.13","4,648.26","5,252.53","4,539.56","12.28B","17.38%"
"2024-9-22","4,453.24","3,699.23","4,516.58","3,688.69","9.96B","20.23%"
"2024-9-15","3,703.84","3,454.69","3,744.31","3,422.82","3.21B","6.44%"
"2024-9-8","3,479.80","3,450.98","3,528.77","3,403.55","3.70B","-0.23%"
"2024-9-1","3,487.80","3,539.86","3,539.86","3,439.94","2.12B","-2.04%"
"2024-8-25","3,560.61","3,490.43","3,614.68","3,365.47","4.19B","2.64%"
"2024-8-18","3,468.94","3,516.36","3,563.68","3,378.65","3.62B","0.28%"
"2024-8-11","3,459.09","3,438.01","3,469.42","3,347.21","2.77B","0.65%"
"2024-8-4","3,436.80","3,333.70","3,483.23","3,272.06","3.71B","1.51%"
"2024-7-28","3,385.60","3,491.95","3,535.14","3,356.80","3.31B","-1.69%"
"2024-7-21","3,443.73","3,550.52","3,639.61","3,408.05","4.23B","-2.62%"
"2024-7-14","3,536.54","3,736.34","3,747.86","3,527.52","3.27B","-6.49%"
"2024-7-7","3,782.08","3,589.70","3,787.33","3,539.60","4.10B","5.15%"
"2024-6-30","3,596.80","3,538.13","3,710.87","3,521.50","6.23B","1.19%"
"2024-6-23","3,554.45","3,671.57","3,709.21","3,546.70","4.52B","-3.97%"
"2024-6-16","3,701.40","3,686.11","3,838.32","3,666.04","5.68B","-0.17%"
"2024-6-9","3,707.62","3,723.44","3,772.83","3,682.51","3.89B","-1.72%"
"2024-6-2","3,772.47","3,744.43","3,886.31","3,740.46","6.59B","2.21%"
"2024-5-26","3,690.76","3,801.72","3,921.20","3,684.85","6.94B","-2.86%"
"2024-5-19","3,799.47","4,124.36","4,155.87","3,780.16","8.18B","-7.61%"
"2024-5-12","4,112.59","3,925.19","4,162.51","3,906.36","6.14B","3.79%"
"2024-5-5","3,962.32","3,982.25","4,021.69","3,859.55","11.93B","-0.23%"
"2024-4-28","3,971.29","3,728.66","4,023.43","3,681.91","9.99B","6.80%"
"2024-4-21","3,718.27","3,318.19","3,738.18","3,292.95","11.51B","13.43%"
"2024-4-14","3,278.06","3,408.05","3,452.60","3,233.76","3.86B","-5.65%"
"2024-4-7","3,474.47","3,427.68","3,587.29","3,413.12","3.89B","0.68%"
"2024-3-31","3,450.89","3,558.92","3,577.39","3,381.03","3.08B","-0.77%"
"2024-3-24","3,477.55","3,469.30","3,543.21","3,380.95","3.92B","0.63%"
"2024-3-17","3,455.88","3,535.49","3,647.01","3,424.00","3.63B","-2.65%"
